A23B61Gy0000	status=error	startTime=2022-03-11-06-01-16-981281	specDigest=e20e4eb429bc2d8106b90cdd0338a09e033f7696	startCommit=fe3c593b655c1538a8d75804a64e3cddb74f22d6	summary=1 tasks (1 changed, 0 ok, 1 failed, 0 unknown, 0 skipped)	changelog=jobs/job2022-03-11-06-01-16-981281.yaml
A23B61Gy0001	previousId=	status=error	target=::test_remote	operation=configure	digestKeys=playbook	digestValue=c4fc938aea7013073eed0ce949d44c48d4ee0c8e	summary=configure on instance test_remote (type tosca.nodes.Root, status error) using configurator for add: Standard.configure (unfurl.configurators.ansible.AnsibleConfigurator), priority: required, reason: add
A23B62bB0000	previousId=A23B61Gy0000	status=error	startTime=2022-03-11-06-02-37-187118	specDigest=9cffab89014bb7d5ac4c766b46ce72d25c35cf94	startCommit=fe3c593b655c1538a8d75804a64e3cddb74f22d6	summary=1 tasks (0 changed, 0 ok, 1 failed, 0 unknown, 0 skipped)	changelog=jobs/job2022-03-11-06-02-37-187118.yaml
A23B62bB0001	previousId=	status=error	target=::test_remote	operation=configure	digestKeys=playbook	digestValue=529ce20e173ea9ea459696ef94ccdabe9ee92b30	summary=configure on instance test_remote (type tosca.nodes.Root, status error) using configurator for error: Standard.configure (unfurl.configurators.ansible.AnsibleConfigurator), priority: required, reason: error
A23B65t00000	previousId=A23B62bB0000	status=error	startTime=2022-03-11-06-05-55-006203	specDigest=9cffab89014bb7d5ac4c766b46ce72d25c35cf94	startCommit=fe3c593b655c1538a8d75804a64e3cddb74f22d6	summary=1 tasks (0 changed, 0 ok, 1 failed, 0 unknown, 0 skipped)	changelog=jobs/job2022-03-11-06-05-55-006203.yaml
A23B65t00001	previousId=	status=error	target=::test_remote	operation=configure	digestKeys=playbook	digestValue=529ce20e173ea9ea459696ef94ccdabe9ee92b30	summary=configure on instance test_remote (type tosca.nodes.Root, status error) using configurator for error: Standard.configure (unfurl.configurators.ansible.AnsibleConfigurator), priority: required, reason: error
A23B68Oe0000	previousId=A23B65t00000	status=error	startTime=2022-03-11-06-08-24-651577	specDigest=9cffab89014bb7d5ac4c766b46ce72d25c35cf94	startCommit=fe3c593b655c1538a8d75804a64e3cddb74f22d6	summary=1 tasks (0 changed, 0 ok, 1 failed, 0 unknown, 0 skipped)	changelog=jobs/job2022-03-11-06-08-24-651577.yaml
A23B68Oe0001	previousId=	status=error	target=::test_remote	operation=configure	digestKeys=playbook	digestValue=529ce20e173ea9ea459696ef94ccdabe9ee92b30	summary=configure on instance test_remote (type tosca.nodes.Root, status error) using configurator for error: Standard.configure (unfurl.configurators.ansible.AnsibleConfigurator), priority: required, reason: error
A23B6BB20000	previousId=A23B68Oe0000	status=error	startTime=2022-03-11-06-11-11-037838	specDigest=9cffab89014bb7d5ac4c766b46ce72d25c35cf94	startCommit=fe3c593b655c1538a8d75804a64e3cddb74f22d6	summary=1 tasks (0 changed, 0 ok, 1 failed, 0 unknown, 0 skipped)	changelog=jobs/job2022-03-11-06-11-11-037838.yaml
A23B6BB20001	previousId=	status=error	target=::test_remote	operation=configure	digestKeys=playbook	digestValue=529ce20e173ea9ea459696ef94ccdabe9ee92b30	summary=configure on instance test_remote (type tosca.nodes.Root, status error) using configurator for error: Standard.configure (unfurl.configurators.ansible.AnsibleConfigurator), priority: required, reason: error
A23B6Gti0000	previousId=A23B6BB20000	status=ok	startTime=2022-03-11-06-16-55-718572	specDigest=9cffab89014bb7d5ac4c766b46ce72d25c35cf94	startCommit=fe3c593b655c1538a8d75804a64e3cddb74f22d6	summary=1 tasks (1 changed, 1 ok, 0 failed, 0 unknown, 0 skipped)	changelog=jobs/job2022-03-11-06-16-55-718572.yaml
A23B6Gti0001	previousId=A23B61Gy0001	status=ok	target=::test_remote	operation=configure	digestKeys=playbook	digestValue=529ce20e173ea9ea459696ef94ccdabe9ee92b30	summary=configure on instance test_remote (type tosca.nodes.Root, status ok) using configurator for error: Standard.configure (unfurl.configurators.ansible.AnsibleConfigurator), priority: required, reason: error
